procedure	provider	city	region	district	price_inr	rating	phone
HbA1c Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	514	4.5	+91-8597213723
Kidney Function Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	687	4.5	+91-8597213723
Lipid Profile	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	709	4.5	+91-8597213723
Liver Function Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	741	4.5	+91-8597213723
MRI Brain	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	6301	4.5	+91-8597213723
MRI Spine	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	6412	4.5	+91-8597213723
Mammography	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	2056	4.5	+91-8597213723
Thyroid Profile	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	629	4.5	+91-8597213723
Ultrasound Abdomen	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	1653	4.5	+91-8597213723
Urine Routine Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	206	4.5	+91-8597213723
Vitamin D Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Ameerpet	1122	4.5	+91-8597213723
2D Echo	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	2303	4.1	+91-7538578522
Blood Sugar Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	223	4.1	+91-7538578522
CBC Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	339	4.1	+91-7538578522
COVID-19 RT-PCR	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	850	4.1	+91-7538578522
CT Scan Brain	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	4290	4.1	+91-7538578522
CT Scan Chest	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	5067	4.1	+91-7538578522
Chest X-Ray	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	534	4.1	+91-7538578522
Dengue Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	611	4.1	+91-7538578522
ECG	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	398	4.1	+91-7538578522
HbA1c Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	465	4.1	+91-7538578522
Kidney Function Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	637	4.1	+91-7538578522
Lipid Profile	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	672	4.1	+91-7538578522
Liver Function Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	735	4.1	+91-7538578522
MRI Brain	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	5002	4.1	+91-7538578522
MRI Spine	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	5333	4.1	+91-7538578522
Mammography	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	1874	4.1	+91-7538578522
Thyroid Profile	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	590	4.1	+91-7538578522
Ultrasound Abdomen	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	1453	4.1	+91-7538578522
Urine Routine Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	227	4.1	+91-7538578522
Vitamin D Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Ameerpet	1034	4.1	+91-7538578522
2D Echo	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	2014	4.9	+91-7399574361
Blood Sugar Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	179	4.9	+91-7399574361
CBC Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	413	4.9	+91-7399574361
COVID-19 RT-PCR	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	799	4.9	+91-7399574361
CT Scan Brain	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	4251	4.9	+91-7399574361
CT Scan Chest	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	4972	4.9	+91-7399574361
Chest X-Ray	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	502	4.9	+91-7399574361
Dengue Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	599	4.9	+91-7399574361
ECG	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	445	4.9	+91-7399574361
HbA1c Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	437	4.9	+91-7399574361
Kidney Function Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	765	4.9	+91-7399574361
Lipid Profile	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	761	4.9	+91-7399574361
Liver Function Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	850	4.9	+91-7399574361
MRI Brain	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	5699	4.9	+91-7399574361
MRI Spine	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	5528	4.9	+91-7399574361
Mammography	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	1898	4.9	+91-7399574361
Thyroid Profile	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	501	4.9	+91-7399574361
Ultrasound Abdomen	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	1562	4.9	+91-7399574361
Urine Routine Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	214	4.9	+91-7399574361
Vitamin D Test	Apollo Care Center	Hyderabad	Hyderabad District	Asifnagar	1167	4.9	+91-7399574361
2D Echo	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1958	3.1	+91-7509639787
Blood Sugar Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	186	3.1	+91-7509639787
CBC Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	390	3.1	+91-7509639787
COVID-19 RT-PCR	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	747	3.1	+91-7509639787
CT Scan Brain	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	3773	3.1	+91-7509639787
CT Scan Chest	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	4560	3.1	+91-7509639787
Chest X-Ray	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	530	3.1	+91-7509639787
Dengue Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	717	3.1	+91-7509639787
ECG	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	462	3.1	+91-7509639787
HbA1c Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	489	3.1	+91-7509639787
Kidney Function Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	725	3.1	+91-7509639787
Lipid Profile	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	749	3.1	+91-7509639787
Liver Function Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	647	3.1	+91-7509639787
MRI Brain	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	5882	3.1	+91-7509639787
MRI Spine	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	6875	3.1	+91-7509639787
Mammography	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	2013	3.1	+91-7509639787
Thyroid Profile	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	590	3.1	+91-7509639787
Ultrasound Abdomen	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1867	3.1	+91-7509639787
Urine Routine Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	204	3.1	+91-7509639787
Vitamin D Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Asifnagar	935	3.1	+91-7509639787
2D Echo	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	2353	3.4	+91-8779190178
Blood Sugar Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	177	3.4	+91-8779190178
CBC Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	411	3.4	+91-8779190178
COVID-19 RT-PCR	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	840	3.4	+91-8779190178
CT Scan Brain	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	3602	3.4	+91-8779190178
CT Scan Chest	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	4124	3.4	+91-8779190178
Chest X-Ray	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	533	3.4	+91-8779190178
Dengue Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	725	3.4	+91-8779190178
ECG	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	405	3.4	+91-8779190178
HbA1c Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	497	3.4	+91-8779190178
Kidney Function Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	621	3.4	+91-8779190178
Lipid Profile	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	592	3.4	+91-8779190178
Liver Function Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	843	3.4	+91-8779190178
MRI Brain	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	5033	3.4	+91-8779190178
MRI Spine	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	5490	3.4	+91-8779190178
Mammography	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	1880	3.4	+91-8779190178
Thyroid Profile	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	572	3.4	+91-8779190178
Ultrasound Abdomen	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	1906	3.4	+91-8779190178
Urine Routine Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	205	3.4	+91-8779190178
Vitamin D Test	CityCare Hospital	Hyderabad	Hyderabad District	Asifnagar	1084	3.4	+91-8779190178
2D Echo	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	2499	3.4	+91-9057899812
Blood Sugar Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	175	3.4	+91-9057899812
CBC Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	373	3.4	+91-9057899812
COVID-19 RT-PCR	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	774	3.4	+91-9057899812
CT Scan Brain	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	4138	3.4	+91-9057899812
CT Scan Chest	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	4371	3.4	+91-9057899812
Chest X-Ray	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	549	3.4	+91-9057899812
Dengue Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	675	3.4	+91-9057899812
ECG	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	425	3.4	+91-9057899812
HbA1c Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	528	3.4	+91-9057899812
Kidney Function Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	752	3.4	+91-9057899812
Lipid Profile	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	734	3.4	+91-9057899812
Liver Function Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	751	3.4	+91-9057899812
MRI Brain	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	4849	3.4	+91-9057899812
MRI Spine	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	6756	3.4	+91-9057899812
Mammography	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	2011	3.4	+91-9057899812
Thyroid Profile	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	654	3.4	+91-9057899812
Ultrasound Abdomen	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	1674	3.4	+91-9057899812
Urine Routine Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	183	3.4	+91-9057899812
Vitamin D Test	HealthPlus Labs	Hyderabad	Hyderabad District	Asifnagar	903	3.4	+91-9057899812
2D Echo	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	2587	3.3	+91-7517847105
Blood Sugar Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	175	3.3	+91-7517847105
CBC Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	318	3.3	+91-7517847105
COVID-19 RT-PCR	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	918	3.3	+91-7517847105
CT Scan Brain	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	3732	3.3	+91-7517847105
CT Scan Chest	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	4923	3.3	+91-7517847105
Chest X-Ray	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	490	3.3	+91-7517847105
Dengue Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	642	3.3	+91-7517847105
ECG	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	448	3.3	+91-7517847105
HbA1c Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	449	3.3	+91-7517847105
Kidney Function Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	704	3.3	+91-7517847105
Lipid Profile	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	575	3.3	+91-7517847105
Liver Function Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	801	3.3	+91-7517847105
MRI Brain	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	6240	3.3	+91-7517847105
MRI Spine	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	5665	3.3	+91-7517847105
Mammography	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1918	3.3	+91-7517847105
Thyroid Profile	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	625	3.3	+91-7517847105
Ultrasound Abdomen	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1635	3.3	+91-7517847105
Urine Routine Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	184	3.3	+91-7517847105
Vitamin D Test	MediCare Diagnostics	Hyderabad	Hyderabad District	Asifnagar	918	3.3	+91-7517847105
2D Echo	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	2564	4.0	+91-7050552427
Blood Sugar Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	217	4.0	+91-7050552427
CBC Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	388	4.0	+91-7050552427
COVID-19 RT-PCR	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	896	4.0	+91-7050552427
CT Scan Brain	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	3921	4.0	+91-7050552427
CT Scan Chest	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	4430	4.0	+91-7050552427
Chest X-Ray	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	533	4.0	+91-7050552427
Dengue Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	649	4.0	+91-7050552427
ECG	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	510	4.0	+91-7050552427
HbA1c Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	501	4.0	+91-7050552427
Kidney Function Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	634	4.0	+91-7050552427
Lipid Profile	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	756	4.0	+91-7050552427
Liver Function Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	810	4.0	+91-7050552427
MRI Brain	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	6128	4.0	+91-7050552427
MRI Spine	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	6855	4.0	+91-7050552427
Mammography	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	1890	4.0	+91-7050552427
Thyroid Profile	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	653	4.0	+91-7050552427
Ultrasound Abdomen	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	1875	4.0	+91-7050552427
Urine Routine Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	214	4.0	+91-7050552427
Vitamin D Test	Prime Health Hospital	Hyderabad	Hyderabad District	Asifnagar	1103	4.0	+91-7050552427
2D Echo	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	2447	4.5	+91-8329537109
Blood Sugar Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	173	4.5	+91-8329537109
CBC Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	348	4.5	+91-8329537109
COVID-19 RT-PCR	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	801	4.5	+91-8329537109
CT Scan Brain	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	3220	4.5	+91-8329537109
CT Scan Chest	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	4363	4.5	+91-8329537109
Chest X-Ray	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	539	4.5	+91-8329537109
Dengue Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	673	4.5	+91-8329537109
ECG	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	410	4.5	+91-8329537109
HbA1c Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	520	4.5	+91-8329537109
Kidney Function Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	717	4.5	+91-8329537109
Lipid Profile	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	640	4.5	+91-8329537109
Liver Function Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	791	4.5	+91-8329537109
MRI Brain	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	5774	4.5	+91-8329537109
MRI Spine	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	6326	4.5	+91-8329537109
Mammography	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	1881	4.5	+91-8329537109
Thyroid Profile	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	671	4.5	+91-8329537109
Ultrasound Abdomen	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	1755	4.5	+91-8329537109
Urine Routine Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	214	4.5	+91-8329537109
Vitamin D Test	Sunrise Medical Center	Hyderabad	Hyderabad District	Asifnagar	1101	4.5	+91-8329537109
2D Echo	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	2373	4.9	+91-7074725042
Blood Sugar Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	213	4.9	+91-7074725042
CBC Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	339	4.9	+91-7074725042
COVID-19 RT-PCR	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	785	4.9	+91-7074725042
CT Scan Brain	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	3266	4.9	+91-7074725042
CT Scan Chest	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	4144	4.9	+91-7074725042
Chest X-Ray	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	498	4.9	+91-7074725042
Dengue Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	570	4.9	+91-7074725042
ECG	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	412	4.9	+91-7074725042
HbA1c Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	515	4.9	+91-7074725042
Kidney Function Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	694	4.9	+91-7074725042
Lipid Profile	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	675	4.9	+91-7074725042
Liver Function Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	861	4.9	+91-7074725042
MRI Brain	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	5771	4.9	+91-7074725042
MRI Spine	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	7194	4.9	+91-7074725042
Mammography	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	2026	4.9	+91-7074725042
Thyroid Profile	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	638	4.9	+91-7074725042
Ultrasound Abdomen	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1469	4.9	+91-7074725042
Urine Routine Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	208	4.9	+91-7074725042
Vitamin D Test	WellLife Diagnostics	Hyderabad	Hyderabad District	Asifnagar	1100	4.9	+91-7074725042
2D Echo	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	2274	3.1	+91-7524060581
Blood Sugar Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	179	3.1	+91-7524060581
CBC Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	365	3.1	+91-7524060581
COVID-19 RT-PCR	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	836	3.1	+91-7524060581
CT Scan Brain	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	3275	3.1	+91-7524060581
CT Scan Chest	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	5170	3.1	+91-7524060581
Chest X-Ray	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	505	3.1	+91-7524060581
Dengue Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	654	3.1	+91-7524060581
ECG	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	459	3.1	+91-7524060581
HbA1c Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	440	3.1	+91-7524060581
Kidney Function Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	639	3.1	+91-7524060581
Lipid Profile	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	704	3.1	+91-7524060581
Liver Function Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	769	3.1	+91-7524060581
MRI Brain	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	5289	3.1	+91-7524060581
MRI Spine	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	6671	3.1	+91-7524060581
Mammography	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	1826	3.1	+91-7524060581
Thyroid Profile	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	498	3.1	+91-7524060581
Ultrasound Abdomen	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	1555	3.1	+91-7524060581
Urine Routine Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	174	3.1	+91-7524060581
Vitamin D Test	Apollo Care Center	Hyderabad	Hyderabad District	Bahadurpura	916	3.1	+91-7524060581
2D Echo	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	2567	4.4	+91-8277816919
Blood Sugar Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	214	4.4	+91-8277816919
CBC Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	316	4.4	+91-8277816919
COVID-19 RT-PCR	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	927	4.4	+91-8277816919
CT Scan Brain	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	4278	4.4	+91-8277816919
CT Scan Chest	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	3977	4.4	+91-8277816919
Chest X-Ray	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	580	4.4	+91-8277816919
Dengue Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	635	4.4	+91-8277816919
ECG	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	443	4.4	+91-8277816919
HbA1c Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	524	4.4	+91-8277816919
Kidney Function Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	631	4.4	+91-8277816919
Lipid Profile	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	678	4.4	+91-8277816919
Liver Function Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	854	4.4	+91-8277816919
MRI Brain	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	6034	4.4	+91-8277816919
MRI Spine	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	6204	4.4	+91-8277816919
Mammography	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	2225	4.4	+91-8277816919
Thyroid Profile	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	639	4.4	+91-8277816919
Ultrasound Abdomen	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	1736	4.4	+91-8277816919
Urine Routine Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	179	4.4	+91-8277816919
Vitamin D Test	CarePoint Diagnostics	Hyderabad	Hyderabad District	Bahadurpura	1059	4.4	+91-8277816919
2D Echo	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	2195	3.9	+91-7667316823
Blood Sugar Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	178	3.9	+91-7667316823
CBC Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	351	3.9	+91-7667316823
COVID-19 RT-PCR	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	721	3.9	+91-7667316823
CT Scan Brain	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	3681	3.9	+91-7667316823
CT Scan Chest	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	4699	3.9	+91-7667316823
Chest X-Ray	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	539	3.9	+91-7667316823
Dengue Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	684	3.9	+91-7667316823
ECG	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	427	3.9	+91-7667316823
HbA1c Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	493	3.9	+91-7667316823
Kidney Function Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	748	3.9	+91-7667316823
Lipid Profile	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	600	3.9	+91-7667316823
Liver Function Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	707	3.9	+91-7667316823
MRI Brain	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	5026	3.9	+91-7667316823
MRI Spine	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	6228	3.9	+91-7667316823
Mammography	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	1947	3.9	+91-7667316823
Thyroid Profile	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	550	3.9	+91-7667316823
Ultrasound Abdomen	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	1687	3.9	+91-7667316823
Urine Routine Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	223	3.9	+91-7667316823
Vitamin D Test	CityCare Hospital	Hyderabad	Hyderabad District	Bahadurpura	952	3.9	+91-7667316823
2D Echo	HealthPlus Labs	Hyderabad	Hyderabad District	Bahadurpura	2430	4.2	+91-9375984041
Blood Sugar Test	HealthPlus Labs	Hyderabad	Hyderabad District	Bahadurpura	180	4.2	+91-9375984041
